#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Braun/Gerhard ( Rom ) , 6 .
1-1	0-13	Braun/Gerhard	*[1]|*[2]	PERaddressee[1]|PERauthor[2]	
1-2	14-15	(	_	_	
1-3	16-19	Rom	*	PLACEfrom	
1-4	20-21	)	_	_	
1-5	22-23	,	_	_	
1-6	24-25	6	*[3]	DATEletter[3]	
1-7	26-27	.	*[3]	DATEletter[3]	

#Text=Januar 1835 Nachdem mir Bunsen aufgrund übler Empfindungen genug gemacht , daß er von Franz gar nichts besseres wissen wolle , nachdem ich ihm alle Quellen eröffnet und unterstützt mit Rath und That , verwendet sich Bunsen für ihn zu meinem Nachtheil und ohne alle Rücksicht auf mich : mehr wie schmerzhaft .
2-1	28-34	Januar	*[3]	DATEletter[3]	
2-2	35-39	1835	*[3]	DATEletter[3]	
2-3	40-47	Nachdem	_	_	
2-4	48-51	mir	_	_	
2-5	52-58	Bunsen	*	PERmentioned	
2-6	59-67	aufgrund	_	_	
2-7	68-73	übler	_	_	
2-8	74-86	Empfindungen	_	_	
2-9	87-92	genug	_	_	
2-10	93-100	gemacht	_	_	
2-11	101-102	,	_	_	
2-12	103-106	daß	_	_	
2-13	107-109	er	_	_	
2-14	110-113	von	_	_	
2-15	114-119	Franz	*	PERmentioned	
2-16	120-123	gar	_	_	
2-17	124-130	nichts	_	_	
2-18	131-139	besseres	_	_	
2-19	140-146	wissen	_	_	
2-20	147-152	wolle	_	_	
2-21	153-154	,	_	_	
2-22	155-162	nachdem	_	_	
2-23	163-166	ich	_	_	
2-24	167-170	ihm	_	_	
2-25	171-175	alle	_	_	
2-26	176-183	Quellen	_	_	
2-27	184-192	eröffnet	_	_	
2-28	193-196	und	_	_	
2-29	197-208	unterstützt	_	_	
2-30	209-212	mit	_	_	
2-31	213-217	Rath	_	_	
2-32	218-221	und	_	_	
2-33	222-226	That	_	_	
2-34	227-228	,	_	_	
2-35	229-238	verwendet	_	_	
2-36	239-243	sich	_	_	
2-37	244-250	Bunsen	*	PERmentioned	
2-38	251-254	für	_	_	
2-39	255-258	ihn	_	_	
2-40	259-261	zu	_	_	
2-41	262-268	meinem	_	_	
2-42	269-278	Nachtheil	_	_	
2-43	279-282	und	_	_	
2-44	283-287	ohne	_	_	
2-45	288-292	alle	_	_	
2-46	293-302	Rücksicht	_	_	
2-47	303-306	auf	_	_	
2-48	307-311	mich	_	_	
2-49	312-313	:	_	_	
2-50	314-318	mehr	_	_	
2-51	319-322	wie	_	_	
2-52	323-334	schmerzhaft	_	_	
2-53	335-336	.	_	_	

#Text=— Ein Logis , auf welches ich seit einem Jahr Rücksicht nehme , und das ich blos durch die Nachlässigkeit des Bedienten nicht fest machte , nimmt er mir auch nachdem ich ihm meinen Wunsch offenbart vor der Nase weg und zeigt Franzen fest hineinzuziehen .
3-1	337-338	—	_	_	
3-2	339-342	Ein	_	_	
3-3	343-348	Logis	_	_	
3-4	349-350	,	_	_	
3-5	351-354	auf	_	_	
3-6	355-362	welches	_	_	
3-7	363-366	ich	_	_	
3-8	367-371	seit	_	_	
3-9	372-377	einem	_	_	
3-10	378-382	Jahr	_	_	
3-11	383-392	Rücksicht	_	_	
3-12	393-398	nehme	_	_	
3-13	399-400	,	_	_	
3-14	401-404	und	_	_	
3-15	405-408	das	_	_	
3-16	409-412	ich	_	_	
3-17	413-417	blos	_	_	
3-18	418-423	durch	_	_	
3-19	424-427	die	_	_	
3-20	428-442	Nachlässigkeit	_	_	
3-21	443-446	des	_	_	
3-22	447-456	Bedienten	_	_	
3-23	457-462	nicht	_	_	
3-24	463-467	fest	_	_	
3-25	468-474	machte	_	_	
3-26	475-476	,	_	_	
3-27	477-482	nimmt	_	_	
3-28	483-485	er	_	_	
3-29	486-489	mir	_	_	
3-30	490-494	auch	_	_	
3-31	495-502	nachdem	_	_	
3-32	503-506	ich	_	_	
3-33	507-510	ihm	_	_	
3-34	511-517	meinen	_	_	
3-35	518-524	Wunsch	_	_	
3-36	525-534	offenbart	_	_	
3-37	535-538	vor	_	_	
