#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Mommsen an Brunn Berlin , Mai 1893 Die Königliche Akademie der Wissenschaften in Berlin würde ersucht werden , weiterhin die Verwaltung dieser Mommsen-Stiftung zu übernehmen .
1-1	0-7	Mommsen	*	PERauthor
1-2	8-10	an	_	_
1-3	11-16	Brunn	*	PERaddressee
1-4	17-23	Berlin	*	PLACEfrom
1-5	24-25	,	_	_
1-6	26-29	Mai	*[1]	DATEletter[1]
1-7	30-34	1893	*[1]	DATEletter[1]
1-8	35-38	Die	_	_
1-9	39-49	Königliche	_	_
1-10	50-58	Akademie	*[2]	ORGmentioned[2]
1-11	59-62	der	*[2]	ORGmentioned[2]
1-12	63-77	Wissenschaften	*[2]	ORGmentioned[2]
1-13	78-80	in	_	_
1-14	81-87	Berlin	*	PLACEmentioned
1-15	88-93	würde	_	_
1-16	94-101	ersucht	_	_
1-17	102-108	werden	_	_
1-18	109-110	,	_	_
1-19	111-120	weiterhin	_	_
1-20	121-124	die	_	_
1-21	125-135	Verwaltung	_	_
1-22	136-142	dieser	_	_
1-23	143-159	Mommsen-Stiftung	_	_
1-24	160-162	zu	_	_
1-25	163-173	übernehmen	_	_
1-26	174-175	.	_	_

#Text=Geldsendungen bitten wir an Herrn Ludwig Delbrück ( i.F .
2-1	176-189	Geldsendungen	_	_
2-2	190-196	bitten	_	_
2-3	197-200	wir	_	_
2-4	201-203	an	_	_
2-5	204-209	Herrn	_	_
2-6	210-216	Ludwig	*[3]	PERmentioned[3]
2-7	217-225	Delbrück	*[3]	PERmentioned[3]
2-8	226-227	(	_	_
2-9	228-231	i.F	_	_
2-10	232-233	.	_	_

#Text=Delbrück , Leo u .
3-1	234-242	Delbrück	*[4]	ORGmentioned[4]
3-2	243-244	,	*[4]	ORGmentioned[4]
3-3	245-248	Leo	*[4]	ORGmentioned[4]
3-4	249-250	u	*[4]	ORGmentioned[4]
3-5	251-252	.	*[4]	ORGmentioned[4]

#Text=Co . )
4-1	253-255	Co	*[4]	ORGmentioned[4]
4-2	256-257	.	*[4]	ORGmentioned[4]
4-3	258-259	)	_	_

#Text=zu Berlin , Mauerstraße 61/62 , briefliche Zuschriften an Herrn Professor Hirschfeld , Charlottenburg bei Berlin , Carmerstraße 3 , zu richten .
5-1	260-262	zu	_	_
5-2	263-269	Berlin	*	PLACEmentioned
5-3	270-271	,	_	_
5-4	272-283	Mauerstraße	*[5]	PLACEmentioned[5]
5-5	284-289	61/62	*[5]	PLACEmentioned[5]
5-6	290-291	,	_	_
5-7	292-302	briefliche	_	_
5-8	303-314	Zuschriften	_	_
5-9	315-317	an	_	_
5-10	318-323	Herrn	_	_
5-11	324-333	Professor	_	_
5-12	334-344	Hirschfeld	*	PERmentioned
5-13	345-346	,	_	_
5-14	347-361	Charlottenburg	*	PLACEmentioned
5-15	362-365	bei	_	_
5-16	366-372	Berlin	*	PLACEmentioned
5-17	373-374	,	_	_
5-18	375-387	Carmerstraße	*[6]	PLACEmentioned[6]
5-19	388-389	3	*[6]	PLACEmentioned[6]
5-20	390-391	,	_	_
5-21	392-394	zu	_	_
5-22	395-402	richten	_	_
5-23	403-404	.	_	_

#Text=wir empfehlen unser Vorhaben der thätigen Unterstützung aller Freunde der historischen Wissenschaften .
6-1	405-408	wir	_	_
6-2	409-418	empfehlen	_	_
6-3	419-424	unser	_	_
6-4	425-433	Vorhaben	_	_
6-5	434-437	der	_	_
6-6	438-446	thätigen	_	_
6-7	447-460	Unterstützung	_	_
6-8	461-466	aller	_	_
6-9	467-474	Freunde	_	_
6-10	475-478	der	_	_
6-11	479-491	historischen	_	_
6-12	492-506	Wissenschaften	_	_
6-13	507-508	.	_	_

#Text=Althoff , F. , Professor Dr. , Geh .
7-1	509-516	Althoff	*[7]	PERauthor[7]
7-2	517-518	,	*[7]	PERauthor[7]
7-3	519-521	F.	*[7]	PERauthor[7]
7-4	522-523	,	_	_
7-5	524-533	Professor	_	_
7-6	534-537	Dr.	_	_
7-7	538-539	,	_	_
7-8	540-543	Geh	_	_
7-9	544-545	.	_	_

#Text=Ob.-Reg.-Rath , Berlin .
8-1	546-559	Ob.-Reg.-Rath	_	_
8-2	560-561	,	_	_
8-3	562-568	Berlin	*	PLACEmentioned
8-4	569-570	.	_	_

#Text=von Arneth , A. , Dr. , Wirkl .
9-1	571-574	von	*[8]	PERauthor[8]
9-2	575-581	Arneth	*[8]	PERauthor[8]
9-3	582-583	,	*[8]	PERauthor[8]
9-4	584-586	A.	*[8]	PERauthor[8]
9-5	587-588	,	_	_
9-6	589-592	Dr.	_	_
9-7	593-594	,	_	_
9-8	595-600	Wirkl	_	_
9-9	601-602	.	_	_

#Text=Geheimer Rath , Wien .
10-1	603-611	Geheimer	_	_
10-2	612-616	Rath	_	_
10-3	617-618	,	_	_
10-4	619-623	Wien	*	PLACEmentioned
10-5	624-625	.	_	_

#Text=Ascoli , G. J. , Professor , Mailand .
11-1	626-632	Ascoli	*[9]	PERauthor[9]
11-2	633-634	,	*[9]	PERauthor[9]
11-3	635-637	G.	*[9]	PERauthor[9]
11-4	638-640	J.	_	_
11-5	641-642	,	_	_
11-6	643-652	Professor	_	_
11-7	653-654	,	_	_
11-8	655-662	Mailand	*	PLACEmentioned
11-9	663-664	.	_	_

#Text=Auwers , A. , Professor Dr. , Geheimrath , Berlin .
