#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Mommsen an Brunn Berlin , Mai 1893 - 3 - von Brunn , Professor Dr. , Geheimrath , München .
1-1	0-7	Mommsen	*	PERauthor
1-2	8-10	an	_	_
1-3	11-16	Brunn	*	PERaddressee
1-4	17-23	Berlin	*	PLACEfrom
1-5	24-25	,	_	_
1-6	26-29	Mai	*[1]	DATEletter[1]
1-7	30-34	1893	*[1]	DATEletter[1]
1-8	35-36	-	_	_
1-9	37-38	3	_	_
1-10	39-40	-	_	_
1-11	41-44	von	_	_
1-12	45-50	Brunn	*[2]	PERauthor[2]
1-13	51-52	,	*[2]	PERauthor[2]
1-14	53-62	Professor	_	_
1-15	63-66	Dr.	_	_
1-16	67-68	,	_	_
1-17	69-79	Geheimrath	_	_
1-18	80-81	,	_	_
1-19	82-89	München	*	PLACEmentioned
1-20	90-91	.	_	_

#Text=Bruns , I. , Professor Dr. , Kiel .
2-1	92-97	Bruns	*[3]	PERauthor[3]
2-2	98-99	,	*[3]	PERauthor[3]
2-3	100-102	I.	*[3]	PERauthor[3]
2-4	103-104	,	_	_
2-5	105-114	Professor	_	_
2-6	115-118	Dr.	_	_
2-7	119-120	,	_	_
2-8	121-125	Kiel	*	PLACEmentioned
2-9	126-127	.	_	_

#Text=Buecheler , F , , Professor Dr. , Geheimrath , Bonn .
3-1	128-137	Buecheler	*[4]	PERauthor[4]
3-2	138-139	,	*[4]	PERauthor[4]
3-3	140-141	F	_	_
3-4	142-143	,	_	_
3-5	144-145	,	_	_
3-6	146-155	Professor	_	_
3-7	156-159	Dr.	_	_
3-8	160-161	,	_	_
3-9	162-172	Geheimrath	_	_
3-10	173-174	,	_	_
3-11	175-179	Bonn	*	PLACEmentioned
3-12	180-181	.	_	_

#Text=Buli® , Fr. , Direttore del Museo , Spalato .
4-1	182-187	Buli®	*[5]	PERauthor[5]
4-2	188-189	,	*[5]	PERauthor[5]
4-3	190-193	Fr.	*[5]	PERauthor[5]
4-4	194-195	,	_	_
4-5	196-205	Direttore	_	_
4-6	206-209	del	_	_
4-7	210-215	Museo	_	_
4-8	216-217	,	_	_
4-9	218-225	Spalato	*	PLACEmentioned
4-10	226-227	.	_	_

#Text=von Bunsen , G. , Dr. , Berlin , Bywater , Ingram , Reader in Greek , Oxford .
5-1	228-231	von	_	_
5-2	232-238	Bunsen	*[6]	PERauthor[6]
5-3	239-240	,	*[6]	PERauthor[6]
5-4	241-243	G.	*[6]	PERauthor[6]
5-5	244-245	,	_	_
5-6	246-249	Dr.	_	_
5-7	250-251	,	_	_
5-8	252-258	Berlin	*	PLACEmentioned
5-9	259-260	,	_	_
5-10	261-268	Bywater	*[7]	PERauthor[7]
5-11	269-270	,	*[7]	PERauthor[7]
5-12	271-277	Ingram	*[7]	PERauthor[7]
5-13	278-279	,	_	_
5-14	280-286	Reader	_	_
5-15	287-289	in	_	_
5-16	290-295	Greek	_	_
5-17	296-297	,	_	_
5-18	298-304	Oxford	*	PLACEmentioned
5-19	305-306	.	_	_

#Text=Conze , A. , Professor Dr. , Berlin , Curtius , E. , Professor Dr. , Geheimrath , Berlin .
6-1	307-312	Conze	*[8]	PERauthor[8]
6-2	313-314	,	*[8]	PERauthor[8]
6-3	315-317	A.	*[8]	PERauthor[8]
6-4	318-319	,	_	_
6-5	320-329	Professor	_	_
6-6	330-333	Dr.	_	_
6-7	334-335	,	_	_
6-8	336-342	Berlin	*	PLACEmentioned
6-9	343-344	,	_	_
6-10	345-352	Curtius	*[9]	PERauthor[9]
6-11	353-354	,	*[9]	PERauthor[9]
6-12	355-357	E.	*[9]	PERauthor[9]
6-13	358-359	,	_	_
6-14	360-369	Professor	_	_
6-15	370-373	Dr.	_	_
6-16	374-375	,	_	_
6-17	376-386	Geheimrath	_	_
6-18	387-388	,	_	_
6-19	389-395	Berlin	*	PLACEmentioned
6-20	396-397	.	_	_

#Text=von Cwiklinski , L. , Professor Dr. , Lemberg , Degenkolb , H. , Professor Dr. , Leipzig .
7-1	398-401	von	_	_
7-2	402-412	Cwiklinski	*[10]	PERauthor[10]
7-3	413-414	,	*[10]	PERauthor[10]
7-4	415-417	L.	*[10]	PERauthor[10]
7-5	418-419	,	_	_
7-6	420-429	Professor	_	_
7-7	430-433	Dr.	_	_
7-8	434-435	,	_	_
7-9	436-443	Lemberg	*	PLACEmentioned
7-10	444-445	,	_	_
7-11	446-455	Degenkolb	*[11]	PERauthor[11]
7-12	456-457	,	*[11]	PERauthor[11]
7-13	458-460	H.	*[11]	PERauthor[11]
7-14	461-462	,	_	_
7-15	463-472	Professor	_	_
7-16	473-476	Dr.	_	_
7-17	477-478	,	_	_
7-18	479-486	Leipzig	*	PLACEmentioned
7-19	487-488	.	_	_

#Text=Delbrück , L. , Berlin .
8-1	489-497	Delbrück	*[12]	PERauthor[12]
8-2	498-499	,	*[12]	PERauthor[12]
8-3	500-502	L.	*[12]	PERauthor[12]
8-4	503-504	,	_	_
8-5	505-511	Berlin	*	PLACEmentioned
8-6	512-513	.	_	_

#Text=von Domaszewski , A. , Professor Dr. , Heidelberg .
9-1	514-517	von	_	_
9-2	518-529	Domaszewski	*[13]	PERauthor[13]
9-3	530-531	,	*[13]	PERauthor[13]
9-4	532-534	A.	*[13]	PERauthor[13]
9-5	535-536	,	_	_
9-6	537-546	Professor	_	_
