#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Momnsen an Brunn Berlin , Mai 1893 Harnack , A. , Professor Dr. , Berlin .
1-1	0-7	Momnsen	*	PERauthor
1-2	8-10	an	_	_
1-3	11-16	Brunn	*	PERaddressee
1-4	17-23	Berlin	*	PLACEfrom
1-5	24-25	,	_	_
1-6	26-29	Mai	*[1]	DATEletter[1]
1-7	30-34	1893	*[1]	DATEletter[1]
1-8	35-42	Harnack	*[2]	PERauthor[2]
1-9	43-44	,	*[2]	PERauthor[2]
1-10	45-47	A.	*[2]	PERauthor[2]
1-11	48-49	,	_	_
1-12	50-59	Professor	_	_
1-13	60-63	Dr.	_	_
1-14	64-65	,	_	_
1-15	66-72	Berlin	*	PLACEmentioned
1-16	73-74	.	_	_

#Text=von Hartel , Wl , Professor Dr. , Hofrath , Wien .
2-1	75-78	von	*[3]	PERauthor[3]
2-2	79-85	Hartel	*[3]	PERauthor[3]
2-3	86-87	,	*[3]	PERauthor[3]
2-4	88-90	Wl	*[3]	PERauthor[3]
2-5	91-92	,	_	_
2-6	93-102	Professor	_	_
2-7	103-106	Dr.	_	_
2-8	107-108	,	_	_
2-9	109-116	Hofrath	_	_
2-10	117-118	,	_	_
2-11	119-123	Wien	*	PLACEmentioned
2-12	124-125	.	_	_

#Text=Hartwig , Th. , Director Prof , Dr. , Frankfurt aM .
3-1	126-133	Hartwig	*[4]	PERauthor[4]
3-2	134-135	,	*[4]	PERauthor[4]
3-3	136-139	Th.	*[4]	PERauthor[4]
3-4	140-141	,	_	_
3-5	142-150	Director	_	_
3-6	151-155	Prof	_	_
3-7	156-157	,	_	_
3-8	158-161	Dr.	_	_
3-9	162-163	,	_	_
3-10	164-173	Frankfurt	*[5]	PLACEmentioned[5]
3-11	174-176	aM	*[5]	PLACEmentioned[5]
3-12	177-178	.	*[5]	PLACEmentioned[5]

#Text=Haussoullier. , B. , Directeur adjoint ä l'Ecole des H.-Etudes , Paris .
4-1	179-192	Haussoullier.	*[6]	PERauthor[6]
4-2	193-194	,	*[6]	PERauthor[6]
4-3	195-197	B.	*[6]	PERauthor[6]
4-4	198-199	,	_	_
4-5	200-209	Directeur	_	_
4-6	210-217	adjoint	_	_
4-7	218-219	ä	_	_
4-8	220-227	l'Ecole	*[7]	ORGmentioned[7]
4-9	228-231	des	*[7]	ORGmentioned[7]
4-10	232-241	H.-Etudes	*[7]	ORGmentioned[7]
4-11	242-243	,	_	_
4-12	244-249	Paris	*	PLACEmentioned
4-13	250-251	.	_	_

#Text=Haverfield , F. , Oxford .
5-1	252-262	Haverfield	*[8]	PERauthor[8]
5-2	263-264	,	*[8]	PERauthor[8]
5-3	265-267	F.	*[8]	PERauthor[8]
5-4	268-269	,	_	_
5-5	270-276	Oxford	*	PLACEmentioned
5-6	277-278	.	_	_

#Text=Havet , L. , Professeur au College de France , Faris .
6-1	279-284	Havet	*[9]	PERauthor[9]
6-2	285-286	,	*[9]	PERauthor[9]
6-3	287-289	L.	*[9]	PERauthor[9]
6-4	290-291	,	_	_
6-5	292-302	Professeur	_	_
6-6	303-305	au	_	_
6-7	306-313	College	*[10]	ORGmentioned[10]
6-8	314-316	de	*[10]	ORGmentioned[10]
6-9	317-323	France	*[10]	ORGmentioned[10]
6-10	324-325	,	_	_
6-11	326-331	Faris	*	PLACEmentioned
6-12	332-333	.	_	_

#Text=Head , B.D. , British Museum , London .
7-1	334-338	Head	*[11]	PERauthor[11]
7-2	339-340	,	*[11]	PERauthor[11]
7-3	341-345	B.D.	*[11]	PERauthor[11]
7-4	346-347	,	_	_
7-5	348-355	British	*[12]	ORGmentioned[12]
7-6	356-362	Museum	*[12]	ORGmentioned[12]
7-7	363-364	,	_	_
7-8	365-371	London	*	PLACEmentioned
7-9	372-373	.	_	_

#Text=von Hegel , K. , Professor Dr. , Erlangen .
8-1	374-377	von	*[13]	PERauthor[13]
8-2	378-383	Hegel	*[13]	PERauthor[13]
8-3	384-385	,	*[13]	PERauthor[13]
8-4	386-388	K.	*[13]	PERauthor[13]
8-5	389-390	,	_	_
8-6	391-400	Professor	_	_
8-7	401-404	Dr.	_	_
8-8	405-406	,	_	_
8-9	407-415	Erlangen	*	PLACEmentioned
8-10	416-417	.	_	_

#Text=von Helmholtz , H. , Professor Dr. , Wirkl .
9-1	418-421	von	*[14]	PERauthor[14]
9-2	422-431	Helmholtz	*[14]	PERauthor[14]
9-3	432-433	,	*[14]	PERauthor[14]
9-4	434-436	H.	*[14]	PERauthor[14]
9-5	437-438	,	_	_
9-6	439-448	Professor	_	_
9-7	449-452	Dr.	_	_
9-8	453-454	,	_	_
9-9	455-460	Wirkl	_	_
9-10	461-462	.	_	_

#Text=Geheimer Rath , Charlottenburg .
10-1	463-471	Geheimer	_	_
10-2	472-476	Rath	_	_
10-3	477-478	,	_	_
10-4	479-493	Charlottenburg	*	PLACEmentioned
10-5	494-495	.	_	_

#Text=Hertz , M. , Frofessor Dr. , Geheimrath , Breslau .
11-1	496-501	Hertz	*[29]	PERauthor[29]
11-2	502-503	,	*[29]	PERauthor[29]
11-3	504-506	M.	*[29]	PERauthor[29]
11-4	507-508	,	_	_
11-5	509-518	Frofessor	_	_
11-6	519-522	Dr.	_	_
11-7	523-524	,	_	_
11-8	525-535	Geheimrath	_	_
11-9	536-537	,	_	_
