#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Mommsen an Brunn Berlin , Mai 1893 -5- Jacoby , L. , Professor , Berlin .
1-1	0-7	Mommsen	*	PERauthor
1-2	8-10	an	_	_
1-3	11-16	Brunn	*	PERaddressee
1-4	17-23	Berlin	*	PLACEfrom
1-5	24-25	,	_	_
1-6	26-29	Mai	*[1]	PERauthor[1]
1-7	30-34	1893	*[1]	PERauthor[1]
1-8	35-38	-5-	_	_
1-9	39-45	Jacoby	*[2]	PERauthor[2]
1-10	46-47	,	*[2]	PERauthor[2]
1-11	48-50	L.	*[2]	PERauthor[2]
1-12	51-52	,	*[2]	PERauthor[2]
1-13	53-62	Professor	_	_
1-14	63-64	,	_	_
1-15	65-71	Berlin	*	PLACEmentioned
1-16	72-73	.	_	_

#Text=Jaeger , O. , Director Dr. , Köln .
2-1	74-80	Jaeger	*[3]	PERauthor[3]
2-2	81-82	,	*[3]	PERauthor[3]
2-3	83-85	O.	*[3]	PERauthor[3]
2-4	86-87	,	_	_
2-5	88-96	Director	_	_
2-6	97-100	Dr.	_	_
2-7	101-102	,	_	_
2-8	103-107	Köln	*	PLACEmentioned
2-9	108-109	.	_	_

#Text=Jonas , Fr. , Schulinspector Dr. , Berlin .
3-1	110-115	Jonas	*[4]	PERauthor[4]
3-2	116-117	,	*[4]	PERauthor[4]
3-3	118-121	Fr.	*[4]	PERauthor[4]
3-4	122-123	,	_	_
3-5	124-138	Schulinspector	_	_
3-6	139-142	Dr.	_	_
3-7	143-144	,	_	_
3-8	145-151	Berlin	*	PLACEmentioned
3-9	152-153	.	_	_

#Text=Kaibel , G. Professor Dr. , Strassburg i. Els .
4-1	154-160	Kaibel	*[5]	PERauthor[5]
4-2	161-162	,	*[5]	PERauthor[5]
4-3	163-165	G.	*[5]	PERauthor[5]
4-4	166-175	Professor	_	_
4-5	176-179	Dr.	_	_
4-6	180-181	,	_	_
4-7	182-192	Strassburg	*[6]	PLACEmentioned[6]
4-8	193-195	i.	*[6]	PLACEmentioned[6]
4-9	196-199	Els	*[6]	PLACEmentioned[6]
4-10	200-201	.	*[6]	PLACEmentioned[6]

#Text=Keil , H. , Professor Dr. , Geheimrath , Halle a . S. Kiepert , H. , Professor Dr , . , Berlin .
5-1	202-206	Keil	*[7]	PERauthor[7]
5-2	207-208	,	*[7]	PERauthor[7]
5-3	209-211	H.	*[7]	PERauthor[7]
5-4	212-213	,	_	_
5-5	214-223	Professor	_	_
5-6	224-227	Dr.	_	_
5-7	228-229	,	_	_
5-8	230-240	Geheimrath	_	_
5-9	241-242	,	_	_
5-10	243-248	Halle	*	PLACEmentioned
5-11	249-250	a	_	_
5-12	251-252	.	_	_
5-13	253-255	S.	_	_
5-14	256-263	Kiepert	*[8]	PERauthor[8]
5-15	264-265	,	*[8]	PERauthor[8]
5-16	266-268	H.	*[8]	PERauthor[8]
5-17	269-270	,	_	_
5-18	271-280	Professor	_	_
5-19	281-283	Dr	_	_
5-20	284-285	,	_	_
5-21	286-287	.	_	_
5-22	288-289	,	_	_
5-23	290-296	Berlin	*	PLACEmentioned
5-24	297-298	.	_	_

#Text=von Kieseritzky , G. , Professor Dr. , St. Petersburg .
6-1	299-302	von	*[9]	PERauthor[9]
6-2	303-314	Kieseritzky	*[9]	PERauthor[9]
6-3	315-316	,	*[9]	PERauthor[9]
6-4	317-319	G.	*[9]	PERauthor[9]
6-5	320-321	,	_	_
6-6	322-331	Professor	_	_
6-7	332-335	Dr.	_	_
6-8	336-337	,	_	_
6-9	338-341	St.	*[10]	PLACEmentioned[10]
6-10	342-352	Petersburg	*[10]	PLACEmentioned[10]
6-11	353-354	.	_	_

#Text=Krueger , F , , Dr.ausserordentlicher Gesandter und bevollmächtigter Minister der freien Hansestäd® , Berlin , Kruger , P. , Professor Dr. , Geheimrath , Bonn .
7-1	355-362	Krueger	*[11]	PERauthor[11]
7-2	363-364	,	*[11]	PERauthor[11]
7-3	365-366	F	_	_
7-4	367-368	,	_	_
7-5	369-370	,	_	_
7-6	371-392	Dr.ausserordentlicher	_	_
7-7	393-402	Gesandter	_	_
7-8	403-406	und	_	_
7-9	407-423	bevollmächtigter	_	_
7-10	424-432	Minister	_	_
7-11	433-436	der	_	_
7-12	437-443	freien	_	_
7-13	444-454	Hansestäd®	*[29]	PLACEmentioned[29]
7-14	455-456	,	*[29]	PLACEmentioned[29]
7-15	457-463	Berlin	*[29]	PLACEmentioned[29]
7-16	464-465	,	_	_
7-17	466-472	Kruger	*[12]	PERauthor[12]
7-18	473-474	,	*[12]	PERauthor[12]
7-19	475-477	P.	*[12]	PERauthor[12]
7-20	478-479	,	_	_
7-21	480-489	Professor	_	_
7-22	490-493	Dr.	_	_
7-23	494-495	,	_	_
7-24	496-506	Geheimrath	_	_
7-25	507-508	,	_	_
7-26	509-513	Bonn	*	PLACEmentioned
7-27	514-515	.	_	_

#Text=Leo , F. , Professor Dr. , Göttingen .
8-1	516-519	Leo	*[13]	PERauthor[13]
8-2	520-521	,	*[13]	PERauthor[13]
8-3	522-524	F.	_	_
8-4	525-526	,	_	_
8-5	527-536	Professor	_	_
8-6	537-540	Dr.	_	_
8-7	541-542	,	_	_
8-8	543-552	Göttingen	*	PLACEmentioned
8-9	553-554	.	_	_

#Text=Lessing , C. R. , Geheimrath , Berlin .
