#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Momnmsen an Brunn Berlin , Mai 1893 Nettleship , H. , Professor , Oxford .
1-1	0-8	Momnmsen	*[1]	PERauthor[1]
1-2	9-11	an	_	_
1-3	12-17	Brunn	*	PERaddressee
1-4	18-24	Berlin	*	PLACEfrom
1-5	25-26	,	_	_
1-6	27-30	Mai	*[2]	DATEletter[2]
1-7	31-35	1893	*[2]	DATEletter[2]
1-8	36-46	Nettleship	*[3]	PERauthor[3]
1-9	47-48	,	*[3]	PERauthor[3]
1-10	49-51	H.	*[3]	PERauthor[3]
1-11	52-53	,	_	_
1-12	54-63	Professor	_	_
1-13	64-65	,	_	_
1-14	66-72	Oxford	*	PLACEmentioned
1-15	73-74	.	_	_

#Text=Dechelhäuser , W. , Geheimrath , Mitgl.des Reichstags , Dessau .
2-1	75-87	Dechelhäuser	*[4]	PERauthor[4]
2-2	88-89	,	*[4]	PERauthor[4]
2-3	90-92	W.	*[4]	PERauthor[4]
2-4	93-94	,	_	_
2-5	95-105	Geheimrath	_	_
2-6	106-107	,	_	_
2-7	108-117	Mitgl.des	_	_
2-8	118-128	Reichstags	_	_
2-9	129-130	,	_	_
2-10	131-137	Dessau	*	PLACEmentioned
2-11	138-139	.	_	_

#Text=Parey , P. , Verlagsbuchhändler , Berlin .
3-1	140-145	Parey	*[5]	PERauthor[5]
3-2	146-147	,	*[5]	PERauthor[5]
3-3	148-150	P.	*[5]	PERauthor[5]
3-4	151-152	,	_	_
3-5	153-171	Verlagsbuchhändler	_	_
3-6	172-173	,	_	_
3-7	174-180	Berlin	*	PLACEmentioned
3-8	181-182	.	_	_

#Text=Paris , G. , Membre de 1'Institut , Paris .
4-1	183-188	Paris	*[6]	PERauthor[6]
4-2	189-190	,	*[6]	PERauthor[6]
4-3	191-193	G.	*[6]	PERauthor[6]
4-4	194-195	,	*[6]	PERauthor[6]
4-5	196-202	Membre	_	_
4-6	203-205	de	_	_
4-7	206-216	1'Institut	*	ORGmentioned
4-8	217-218	,	_	_
