#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Mommsen an Brunn Berlin , Mai 1893 - 7 + Schoell , R. , Professor Dr. , München .
1-1	0-7	Mommsen	*	PERauthor
1-2	8-10	an	_	_
1-3	11-16	Brunn	*	PERaddressee
1-4	17-23	Berlin	*	PLACEfrom
1-5	24-25	,	_	_
1-6	26-29	Mai	*[1]	DATEletter[1]
1-7	30-34	1893	*[1]	DATEletter[1]
1-8	35-36	-	_	_
1-9	37-38	7	_	_
1-10	39-40	+	_	_
1-11	41-48	Schoell	*[2]	PERauthor[2]
1-12	49-50	,	*[2]	PERauthor[2]
1-13	51-53	R.	*[2]	PERauthor[2]
1-14	54-55	,	_	_
1-15	56-65	Professor	_	_
1-16	66-69	Dr.	_	_
1-17	70-71	,	_	_
1-18	72-79	München	*	PLACEmentioned
1-19	80-81	.	_	_

#Text=Schoene , R. , Dr. , Generaldirector d. Königl .
2-1	82-89	Schoene	*[3]	PERauthor[3]
2-2	90-91	,	*[3]	PERauthor[3]
2-3	92-94	R.	*[3]	PERauthor[3]
2-4	95-96	,	_	_
2-5	97-100	Dr.	_	_
2-6	101-102	,	_	_
2-7	103-118	Generaldirector	_	_
2-8	119-121	d.	_	_
2-9	122-128	Königl	*[4]	ORGmentioned[4]
2-10	129-130	.	*[4]	ORGmentioned[4]

#Text=Museen , Berlin .
3-1	131-137	Museen	*[4]	ORGmentioned[4]
3-2	138-139	,	_	_
3-3	140-146	Berlin	*	PLACEmentioned
3-4	147-148	.	_	_

#Text=Schuchardt , C. , Director Dr. , Hannover .
4-1	149-159	Schuchardt	*[5]	PERauthor[5]
4-2	160-161	,	*[5]	PERauthor[5]
4-3	162-164	C.	*[5]	PERauthor[5]
4-4	165-166	,	_	_
4-5	167-175	Director	_	_
4-6	176-179	Dr.	_	_
4-7	180-181	,	_	_
4-8	182-190	Hannover	*	PLACEmentioned
4-9	191-192	.	_	_

#Text=Schuermans , H. , Premier Präsident ä la Gour d'appel , Lüttich .
5-1	193-203	Schuermans	*[6]	PERauthor[6]
5-2	204-205	,	*[6]	PERauthor[6]
5-3	206-208	H.	*[6]	PERauthor[6]
5-4	209-210	,	_	_
5-5	211-218	Premier	_	_
5-6	219-228	Präsident	_	_
5-7	229-230	ä	_	_
5-8	231-233	la	_	_
5-9	234-238	Gour	*[7]	ORGmentioned[7]
5-10	239-246	d'appel	*[7]	ORGmentioned[7]
5-11	247-248	,	_	_
5-12	249-256	Lüttich	*	PLACEmentioned
5-13	257-258	.	_	_

#Text=Schurman , J.G. , President of Cornell University , Ithaca , ( America ) .
6-1	259-267	Schurman	*[8]	PERauthor[8]
6-2	268-269	,	*[8]	PERauthor[8]
6-3	270-274	J.G.	*[8]	PERauthor[8]
6-4	275-276	,	_	_
6-5	277-286	President	_	_
6-6	287-289	of	_	_
6-7	290-297	Cornell	*[9]	ORGmentioned[9]
6-8	298-308	University	*[9]	ORGmentioned[9]
6-9	309-310	,	_	_
6-10	311-317	Ithaca	*	PLACEmentioned
6-11	318-319	,	_	_
6-12	320-321	(	_	_
6-13	322-329	America	*	PLACEmentioned
6-14	330-331	)	_	_
6-15	332-333	.	_	_

#Text=Schwartz , E. , Professor Dr. , Rostock , Seeley , J.R. , Professor Dr. , Cambridge .
7-1	334-342	Schwartz	*[10]	PERauthor[10]
7-2	343-344	,	*[10]	PERauthor[10]
7-3	345-347	E.	*[10]	PERauthor[10]
7-4	348-349	,	_	_
7-5	350-359	Professor	_	_
7-6	360-363	Dr.	_	_
7-7	364-365	,	_	_
7-8	366-373	Rostock	*	PLACEmentioned
7-9	374-375	,	_	_
7-10	376-382	Seeley	*[11]	PERauthor[11]
7-11	383-384	,	*[11]	PERauthor[11]
7-12	385-389	J.R.	*[11]	PERauthor[11]
7-13	390-391	,	_	_
7-14	392-401	Professor	_	_
7-15	402-405	Dr.	_	_
7-16	406-407	,	_	_
7-17	408-417	Cambridge	*	PLACEmentioned
7-18	418-419	.	_	_

#Text=Serafini , F. , Professor Dr. , Fisa .
8-1	420-428	Serafini	*[12]	PERauthor[12]
8-2	429-430	,	*[12]	PERauthor[12]
8-3	431-433	F.	_	_
8-4	434-435	,	_	_
8-5	436-445	Professor	_	_
8-6	446-449	Dr.	_	_
8-7	450-451	,	_	_
8-8	452-456	Fisa	*	PLACEmentioned
8-9	457-458	.	_	_

#Text=von Simson , Reichsgerichts-Präsident a . D. , Wirkl .
9-1	459-462	von	*[13]	PERauthor[13]
9-2	463-469	Simson	*[13]	PERauthor[13]
9-3	470-471	,	_	_
9-4	472-496	Reichsgerichts-Präsident	_	_
9-5	497-498	a	_	_
9-6	499-500	.	_	_
9-7	501-503	D.	_	_
9-8	504-505	,	_	_
9-9	506-511	Wirkl	_	_
9-10	512-513	.	_	_

#Text=Geheimer Rath , Berlin .
10-1	514-522	Geheimer	_	_
10-2	523-527	Rath	_	_
10-3	528-529	,	_	_
10-4	530-536	Berlin	*	PLACEmentioned
10-5	537-538	.	_	_

#Text=von Simson , A. , Justizrath , Berlin .
11-1	539-542	von	*[14]	PERauthor[14]
11-2	543-549	Simson	*[14]	PERauthor[14]
11-3	550-551	,	*[14]	PERauthor[14]
11-4	552-554	A.	*[14]	PERauthor[14]
11-5	555-556	,	_	_
11-6	557-567	Justizrath	_	_
11-7	568-569	,	_	_
