EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	19:22:34	0	0.1000	4.084200091648203	2.285355567932129	0.7542	0.7508	0.7525
2	19:33:06	0	0.1000	2.5195435591629103	1.9957516193389893	0.7592	0.7897	0.7742
3	19:43:54	0	0.1000	2.207582881578625	1.7871724367141724	0.7751	0.8047	0.7896
4	19:54:48	0	0.1000	2.0444684310731027	1.6645433902740479	0.7974	0.8119	0.8046
5	20:05:31	0	0.1000	1.938636501131078	1.6381278038024902	0.7911	0.8193	0.8049
6	20:16:19	0	0.1000	1.8585204140557492	1.590649962425232	0.7846	0.8314	0.8073
7	20:26:58	0	0.1000	1.8103728007538995	1.5022343397140503	0.8071	0.8295	0.8181
8	20:37:42	0	0.1000	1.7575949275071252	1.443800687789917	0.8148	0.8322	0.8234
9	20:48:39	1	0.1000	1.7009137777157526	1.4474215507507324	0.8053	0.8383	0.8215
10	20:59:25	0	0.1000	1.6735945190625616	1.368620753288269	0.8314	0.8377	0.8345
11	21:10:19	1	0.1000	1.6392847375539419	1.3826024532318115	0.8135	0.8400	0.8266
12	21:21:08	2	0.1000	1.6149370777329586	1.4333027601242065	0.8016	0.8493	0.8247
13	21:32:19	3	0.1000	1.5940537507542853	1.3741462230682373	0.8111	0.8459	0.8282
14	21:42:58	4	0.1000	1.5602782284343513	1.341261625289917	0.8269	0.8411	0.8339
15	21:53:30	1	0.0500	1.4735699598276066	1.3211936950683594	0.8155	0.8500	0.8324
16	22:04:03	2	0.0500	1.4565404518012455	1.3033480644226074	0.8200	0.8491	0.8343
17	22:14:35	0	0.0500	1.436291116860605	1.2833693027496338	0.8225	0.8510	0.8365
18	22:25:19	0	0.0500	1.408529961600876	1.290557861328125	0.8216	0.8533	0.8372
19	22:35:59	1	0.0500	1.4032133183959676	1.3156095743179321	0.8106	0.8540	0.8317
20	22:46:33	2	0.0500	1.386732314201589	1.3036354780197144	0.8143	0.8506	0.8320
21	22:57:08	0	0.0500	1.3800325101169564	1.2554935216903687	0.8283	0.8485	0.8383
22	23:07:50	1	0.0500	1.3626656779248143	1.2772523164749146	0.8213	0.8506	0.8357
23	23:18:21	2	0.0500	1.3583115156146977	1.2725584506988525	0.8198	0.8519	0.8355
24	23:28:58	3	0.0500	1.335127185776018	1.2858935594558716	0.8179	0.8540	0.8355
25	23:39:33	0	0.0500	1.3225846335662224	1.2508670091629028	0.8262	0.8508	0.8383
26	23:50:20	1	0.0500	1.3320306997050815	1.2507143020629883	0.8241	0.8512	0.8374
27	00:00:53	2	0.0500	1.311234483386019	1.2496918439865112	0.8263	0.8485	0.8372
28	00:11:28	0	0.0500	1.3170197318937966	1.246368169784546	0.8275	0.8527	0.8399
29	00:22:09	1	0.0500	1.3130507298180314	1.289449691772461	0.8139	0.8542	0.8336
30	00:32:43	2	0.0500	1.301100050533089	1.2553077936172485	0.8256	0.8546	0.8399
31	00:43:19	3	0.0500	1.283924438614873	1.2668571472167969	0.8195	0.8508	0.8348
32	00:53:53	4	0.0500	1.2822576162362465	1.266618013381958	0.8181	0.8544	0.8358
33	01:04:32	0	0.0250	1.244796131446461	1.206836462020874	0.8406	0.8506	0.8456
34	01:15:17	1	0.0250	1.216538964267889	1.213290810585022	0.8346	0.8529	0.8436
35	01:25:55	2	0.0250	1.2194857281361353	1.2083903551101685	0.8355	0.8546	0.8450
36	01:36:27	0	0.0250	1.2185330644194756	1.20114266872406	0.8409	0.8533	0.8471
37	01:47:19	1	0.0250	1.2022652678518684	1.20291268825531	0.8393	0.8544	0.8468
38	01:57:54	2	0.0250	1.2031158476295702	1.220045804977417	0.8307	0.8544	0.8424
39	02:08:31	3	0.0250	1.2002689507447621	1.1961109638214111	0.8396	0.8504	0.8449
40	02:19:03	4	0.0250	1.1801642759302695	1.1963305473327637	0.8392	0.8527	0.8459
41	02:29:32	0	0.0125	1.1685166220416598	1.182266354560852	0.8450	0.8512	0.8481
42	02:40:15	1	0.0125	1.1619194527897867	1.1893941164016724	0.8417	0.8519	0.8468
43	02:50:49	2	0.0125	1.1664791142007525	1.1786099672317505	0.8463	0.8493	0.8478
44	03:01:26	0	0.0125	1.1594744912377746	1.177812933921814	0.8469	0.8510	0.8490
45	03:12:13	0	0.0125	1.144756129420289	1.179461121559143	0.8460	0.8531	0.8495
46	03:23:01	1	0.0125	1.145599424350457	1.1790499687194824	0.8443	0.8504	0.8473
47	03:33:39	2	0.0125	1.143524876698686	1.1785587072372437	0.8442	0.8529	0.8485
48	03:44:14	0	0.0125	1.1569427016202511	1.1791596412658691	0.8452	0.8540	0.8496
49	03:54:59	1	0.0125	1.1507059702130615	1.1796677112579346	0.8454	0.8529	0.8491
50	04:05:41	2	0.0125	1.1453882260715942	1.178792119026184	0.8421	0.8546	0.8483
51	04:16:21	3	0.0125	1.1368452990925042	1.1755224466323853	0.8459	0.8516	0.8488
52	04:26:59	4	0.0125	1.1385976406299898	1.1800992488861084	0.8419	0.8521	0.8470
53	04:37:37	1	0.0063	1.128402065326145	1.1711665391921997	0.8469	0.8512	0.8491
54	04:48:13	0	0.0063	1.127696868038127	1.1732332706451416	0.8489	0.8512	0.8501
55	04:58:59	0	0.0063	1.122942152822667	1.17012619972229	0.8495	0.8516	0.8506
56	05:09:39	0	0.0063	1.1187319015775767	1.1694189310073853	0.8500	0.8514	0.8507
57	05:20:19	1	0.0063	1.1137137251956826	1.1733819246292114	0.8487	0.8525	0.8506
58	05:30:56	2	0.0063	1.1093511275832832	1.1773560047149658	0.8478	0.8525	0.8502
59	05:41:36	3	0.0063	1.1144775622329783	1.1751980781555176	0.8468	0.8516	0.8492
60	05:52:07	4	0.0063	1.1223231314005264	1.172882318496704	0.8465	0.8516	0.8490
61	06:02:41	0	0.0031	1.1117733028248968	1.1679185628890991	0.8508	0.8508	0.8508
62	06:13:28	1	0.0031	1.1077161054331306	1.1657326221466064	0.8501	0.8506	0.8503
63	06:24:00	2	0.0031	1.1115077752748033	1.1687310934066772	0.8485	0.8510	0.8498
64	06:35:01	3	0.0031	1.1089515168316335	1.1696579456329346	0.8479	0.8521	0.8500
65	06:45:52	4	0.0031	1.105166599981877	1.1701968908309937	0.8482	0.8527	0.8505
66	06:56:29	0	0.0016	1.1058562334286102	1.1663020849227905	0.8508	0.8508	0.8508
67	07:07:06	0	0.0016	1.1150761394195616	1.1666662693023682	0.8504	0.8516	0.8510
68	07:18:36	0	0.0016	1.1062594649023887	1.164031982421875	0.8523	0.8512	0.8518
69	07:29:29	1	0.0016	1.095380331302433	1.1668574810028076	0.8503	0.8508	0.8505
70	07:40:29	2	0.0016	1.0999721167013168	1.165137529373169	0.8505	0.8510	0.8507
71	07:51:25	3	0.0016	1.0989209851028425	1.1665253639221191	0.8505	0.8514	0.8510
72	08:01:39	4	0.0016	1.105260085123421	1.1665202379226685	0.8497	0.8506	0.8501
73	08:12:21	1	0.0008	1.0919323202354576	1.1651113033294678	0.8504	0.8508	0.8506
74	08:22:52	2	0.0008	1.0972687971301964	1.1645935773849487	0.8510	0.8510	0.8510
