EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	17:51:01	0	0.1000	4.579211670136641	2.6230549812316895	0.7271	0.7530	0.7398
2	18:07:19	0	0.1000	2.828435903385518	2.1166296005249023	0.7790	0.7852	0.7821
3	18:23:44	0	0.1000	2.486317278965125	1.9243578910827637	0.7833	0.8026	0.7928
4	18:40:12	0	0.1000	2.2646882124836485	1.8205214738845825	0.7819	0.8199	0.8004
5	18:56:31	0	0.1000	2.118508727954967	1.7355302572250366	0.7870	0.8259	0.8060
6	19:12:54	0	0.1000	2.022295340866087	1.6376274824142456	0.8014	0.8290	0.8150
7	19:29:23	0	0.1000	1.950392294793375	1.618722915649414	0.7971	0.8384	0.8172
8	19:45:47	0	0.1000	1.8918405858770249	1.544689655303955	0.8129	0.8393	0.8259
9	20:02:12	1	0.1000	1.8580740051018814	1.5795979499816895	0.7949	0.8440	0.8187
10	20:18:33	0	0.1000	1.8056809045374393	1.445428490638733	0.8227	0.8428	0.8327
11	20:35:07	1	0.1000	1.75754597534736	1.455899953842163	0.8172	0.8466	0.8316
12	20:51:28	2	0.1000	1.7210779732004517	1.462050199508667	0.8103	0.8499	0.8297
13	21:07:42	3	0.1000	1.705667126125523	1.444405436515808	0.8127	0.8509	0.8313
14	21:23:51	0	0.1000	1.6772954946176872	1.4224430322647095	0.8165	0.8505	0.8332
15	21:40:17	0	0.1000	1.6542650391125964	1.39958655834198	0.8220	0.8499	0.8357
16	21:56:38	0	0.1000	1.6312640518363979	1.4072726964950562	0.8196	0.8563	0.8375
17	22:13:10	1	0.1000	1.6113801277168687	1.3942450284957886	0.8151	0.8537	0.8339
18	22:29:19	2	0.1000	1.5956683328582182	1.4020664691925049	0.8123	0.8570	0.8341
19	22:45:26	3	0.1000	1.575695051589892	1.3987115621566772	0.8106	0.8561	0.8327
20	23:01:44	4	0.1000	1.5528934937384393	1.3686236143112183	0.8194	0.8563	0.8375
21	23:18:00	0	0.0500	1.4755458606200085	1.281098484992981	0.8309	0.8557	0.8431
22	23:34:33	1	0.0500	1.464796675753499	1.2819344997406006	0.8300	0.8565	0.8430
23	23:50:55	0	0.0500	1.4372253039230902	1.2832038402557373	0.8316	0.8578	0.8445
24	00:07:27	0	0.0500	1.4302311658504463	1.2712657451629639	0.8321	0.8591	0.8453
25	00:24:03	1	0.0500	1.412287049557245	1.2797479629516602	0.8289	0.8591	0.8437
26	00:40:25	2	0.0500	1.4127506953146722	1.291618824005127	0.8227	0.8622	0.8420
27	00:56:37	0	0.0500	1.3919253484419887	1.2558648586273193	0.8345	0.8583	0.8462
28	01:13:10	0	0.0500	1.3857760125150282	1.2463949918746948	0.8371	0.8594	0.8481
29	01:29:40	1	0.0500	1.3853960219948065	1.2502110004425049	0.8351	0.8591	0.8469
30	01:46:07	0	0.0500	1.3777507813203902	1.2355724573135376	0.8392	0.8579	0.8485
31	02:02:33	1	0.0500	1.363213525523269	1.2564878463745117	0.8318	0.8604	0.8459
32	02:18:44	2	0.0500	1.3674965045814003	1.251875877380371	0.8349	0.8587	0.8466
33	02:35:00	3	0.0500	1.350539028910654	1.2494326829910278	0.8341	0.8615	0.8476
34	02:51:19	0	0.0500	1.3361736632706154	1.2426581382751465	0.8370	0.8607	0.8487
35	03:07:52	1	0.0500	1.3344039295223498	1.2545325756072998	0.8340	0.8624	0.8480
36	03:24:04	0	0.0500	1.338827956881788	1.2400492429733276	0.8357	0.8632	0.8492
37	03:40:48	1	0.0500	1.3206961255461451	1.233796238899231	0.8372	0.8607	0.8488
38	03:57:06	0	0.0500	1.3214193200840363	1.2273650169372559	0.8401	0.8607	0.8503
39	04:13:37	1	0.0500	1.3102055437981137	1.2460185289382935	0.8367	0.8624	0.8494
40	04:29:48	0	0.0500	1.3130263337008063	1.2141766548156738	0.8428	0.8585	0.8506
41	04:46:22	0	0.0500	1.2996434212204009	1.223915934562683	0.8410	0.8620	0.8514
42	05:02:59	1	0.0500	1.2980822561574834	1.2204424142837524	0.8382	0.8643	0.8510
43	05:19:22	0	0.0500	1.2919565535904396	1.2240662574768066	0.8391	0.8652	0.8520
44	05:36:10	0	0.0500	1.2798800490323514	1.220278263092041	0.8425	0.8635	0.8529
45	05:52:48	1	0.0500	1.2852841216242976	1.2353341579437256	0.8346	0.8652	0.8496
46	06:09:06	0	0.0500	1.27426124024131	1.2163667678833008	0.8465	0.8606	0.8535
47	06:25:34	1	0.0500	1.2600754187516277	1.27847158908844	0.8264	0.8650	0.8453
48	06:41:54	2	0.0500	1.2563945099356628	1.2338855266571045	0.8368	0.8678	0.8520
49	06:58:20	3	0.0500	1.2519776216515945	1.2199212312698364	0.8382	0.8650	0.8514
50	07:15:02	4	0.0500	1.2548831140119878	1.2395787239074707	0.8398	0.8650	0.8522
51	07:31:17	0	0.0250	1.224050810412755	1.2064409255981445	0.8440	0.8635	0.8537
52	07:47:52	0	0.0250	1.2069988893788486	1.1979002952575684	0.8467	0.8652	0.8559
53	08:04:30	0	0.0250	1.1945979117992378	1.1867210865020752	0.8520	0.8619	0.8569
54	08:21:05	1	0.0250	1.1993727613358744	1.1922239065170288	0.8453	0.8637	0.8544
55	08:37:19	2	0.0250	1.1984696716424965	1.1962424516677856	0.8435	0.8661	0.8547
56	08:53:55	3	0.0250	1.186068750415293	1.1963465213775635	0.8458	0.8632	0.8544
57	09:10:18	4	0.0250	1.190662309556963	1.1887832880020142	0.8474	0.8656	0.8564
58	09:26:37	0	0.0125	1.1740977157143846	1.17649507522583	0.8525	0.8641	0.8583
59	09:43:12	0	0.0125	1.1611380034850702	1.179018259048462	0.8553	0.8630	0.8591
