EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	00:05:04	0	0.1000	3.4311081099486542	2.1179919242858887	0.7674	0.8114	0.7888
2	00:14:06	0	0.1000	2.1697651630947514	1.7845066785812378	0.7911	0.8247	0.8075
3	00:23:16	0	0.1000	1.9391025976824856	1.6468695402145386	0.7962	0.8396	0.8173
4	00:32:34	0	0.1000	1.7955745323191559	1.5445117950439453	0.8095	0.8462	0.8275
5	00:41:55	0	0.1000	1.7118093573325683	1.4854769706726074	0.8131	0.8439	0.8282
6	00:51:15	0	0.1000	1.6244648703566147	1.4354829788208008	0.8192	0.8471	0.8329
7	01:00:39	0	0.1000	1.584257975545904	1.3905788660049438	0.8237	0.8564	0.8397
8	01:10:02	1	0.1000	1.5279964246447124	1.3853778839111328	0.8195	0.8598	0.8392
9	01:19:25	0	0.1000	1.4902025807116712	1.3378602266311646	0.8325	0.8611	0.8466
10	01:28:49	1	0.1000	1.4570907347850384	1.3735049962997437	0.8223	0.8673	0.8442
11	01:38:14	2	0.1000	1.4197850616441832	1.340227484703064	0.8248	0.8662	0.8450
12	01:47:36	0	0.1000	1.3921460263312808	1.3112596273422241	0.8309	0.8677	0.8489
13	01:56:57	1	0.1000	1.372480168022097	1.311307668685913	0.8263	0.8660	0.8457
14	02:06:18	0	0.1000	1.3525354833534313	1.2903687953948975	0.8352	0.8707	0.8526
15	02:15:41	1	0.1000	1.3314350542154103	1.331758737564087	0.8239	0.8665	0.8447
16	02:25:03	2	0.1000	1.3120980954595975	1.2686691284179688	0.8349	0.8707	0.8524
17	02:34:23	3	0.1000	1.2893911793177564	1.2947136163711548	0.8301	0.8693	0.8493
18	02:43:44	4	0.1000	1.2644120131042742	1.313953161239624	0.8230	0.8742	0.8478
19	02:53:05	0	0.0500	1.2028389192881093	1.2077769041061401	0.8467	0.8692	0.8578
20	03:02:28	0	0.0500	1.1666514065175775	1.193422794342041	0.8473	0.8705	0.8587
21	03:11:51	1	0.0500	1.1385365323947063	1.199871301651001	0.8456	0.8712	0.8582
22	03:21:17	0	0.0500	1.1334835761596287	1.2034876346588135	0.8486	0.8708	0.8596
23	03:30:38	0	0.0500	1.1158115146533838	1.187099575996399	0.8507	0.8699	0.8602
24	03:39:59	0	0.0500	1.1032109960529304	1.1858577728271484	0.8479	0.8731	0.8603
25	03:49:21	1	0.0500	1.0972360093146563	1.1878327131271362	0.8487	0.8710	0.8597
26	03:58:45	2	0.0500	1.0736404640511388	1.2037514448165894	0.8431	0.8731	0.8579
27	04:08:08	3	0.0500	1.0741684194949885	1.2004815340042114	0.8438	0.8714	0.8574
28	04:17:33	4	0.0500	1.0593831728966463	1.1976500749588013	0.8489	0.8714	0.8600
29	04:26:56	0	0.0250	1.0384953323869952	1.1644179821014404	0.8523	0.8693	0.8607
30	04:36:22	0	0.0250	1.012813201913285	1.1628082990646362	0.8564	0.8703	0.8633
31	04:45:44	1	0.0250	0.9958905103867726	1.1544228792190552	0.8564	0.8671	0.8617
32	04:55:06	0	0.0250	0.9974638280710058	1.1511937379837036	0.8595	0.8688	0.8641
33	05:04:27	1	0.0250	0.9801071410673479	1.1623893976211548	0.8543	0.8723	0.8632
34	05:13:51	0	0.0250	0.9884734069485039	1.149166226387024	0.8623	0.8686	0.8654
35	05:23:16	1	0.0250	0.9745664233046155	1.1537039279937744	0.8591	0.8697	0.8644
36	05:32:39	2	0.0250	0.9713996248024087	1.15855073928833	0.8572	0.8699	0.8635
37	05:42:02	0	0.0250	0.9592823601431317	1.1544018983840942	0.8623	0.8695	0.8659
38	05:51:24	1	0.0250	0.9577622011540428	1.1641582250595093	0.8610	0.8684	0.8647
39	06:00:48	2	0.0250	0.9479894156730364	1.1664713621139526	0.8565	0.8721	0.8642
40	06:10:11	3	0.0250	0.9485055767738867	1.1667938232421875	0.8554	0.8705	0.8629
