Agnone;27345;2750259
Agrigento;27347;2178775
Alger;11267;2086513
Al-Q¯ahirah;26332;2042858
Altenburg;3872;2052951
Amelia;27394;2180900
Amiens;27228;2081846
Arles;27429;2080502
Ascoli Piceno;25676;2338747
Avellino;27474;2087031
Baden (Niederösterreich);30075;2062051
Bad Gastein;941;2734941
Badia di Fiesole;18159;
Bari;26868;2320152
Bayr¯ut;27572;2280219
Bernay;27600;2081479
Bois le roi;5306;2769753
Bovino;27670;2071784
Brescia;25772;2359573
Brindisi;27684;2320153
Campobasso;27742;2087922
Canosa di Puglia;27746;2345345
Cantiano;27747;2072967
Capri;27749;2071882
Caserta;27063;2337539
Cesena;27798;2338556
Chianciano Terme;24413;2073209
Cividale del Friuli;27147;2088361
Colmar;10960;2076727
Cortona;27890;2088544
Crema;26934;2070902
Douai;25888;2081777
Fabriano;28039;2072896
Ferentino;28048;2337513
Fermo;27068;2338746
Foggia;28067;2320158
Frankfurt;3021648;
Gaeta;28108;2180609
Gallipoli;28114;2089395
Giebichenstein;11257;2044923
Gubbio;27427;2180908
Hadamar;2550;
Hage;55964;
Halle;3021304;2044919
Hvar;28306;
Hyére;5357;2080852
Jassy;11609;2068180
Klagenfurt;26371;2062251
Köthen;26143;2279091
Lahr;28513;2045914
Lucca;26250;2359615
Luchon;3003626;
Mâcon;28639;2078675
Málaga;26272;2359874
Malta;17221;2281890
Mileto;3022385;2287722
Mirabella Eclano;28723;2071526
Molfetta;28745;2129130
Montale;69843;2070562
Montecatini Terme;28759;2769754
Montenero di Bisaccia;69252;2768701
Mundart Sizilianisch (Lentini);3020577;2338693
Náfplion;28818;2306291
Nereto;3021329;2750046
Neuburg (Heidelberg);3758;
Nice;28862;2092236
Nîmes;26395;2092192
Nishni Nowgorod;55918;2092291
Nocera;26726;2092244
Noordwijk;56220;2755700
Oberbronn;1905;2769755
Offida;28943;2072931
Olympia;11341;2338679
Ortona;28969;2072538
Osimo;28978;2092399
Otricoli;28985;2180913
Palazzolo sull'Oglio;3021919;2769756
Palestrina;28996;2180641
Pest;26483;
Pforte;56338;
Piacenza;26725;2338581
Porto;26503;2099095
Pozzuoli;3012801;2338677
Rieti;29171;2180647
Ruvo di Puglia;29225;2320163
Salerno;29248;2338588
Sangerhausen;29284;2044821
San Remo;27198;2070791
Sansepolcro;29287;2073005
San Severino Marche;29280;2095906
San Severo;29281;
Schierstein;56357;2181116
Senigallia;29372;2072910
Siena;26618;2337546
Sora;35694;2072587
Spoleto;29447;2180919
St. Jean de Luz b. Biarritz;20045;
Sulmona;29514;2345154
Terracina;907;2180614
Terranova da Sibari;29585;2096857
Tivoli;25647;2180655
Todi;29599;2180922
Torre Annunziata;3012793;2097069
Trapani;29618;2178811
Velletri;29707;2072815
Vibo Valentia;29714;2338584
Vicenza;26738;2099056
Viterbo;26144;2337510
Wells;26761;2083831
Wien-Döbling;2660;2063166
Wilhelmshöhe;1163;2179801
